,ward,district,date_day,date_year,charge_1_type,race_BLACK,race_WHITE HISPANIC,race_BLACK HISPANIC,race_WHITE,race_ASIAN / PACIFIC ISLANDER,race_UNKNOWN / REFUSED,race_AMER INDIAN / ALASKAN NATIVE
436,7,003,10,2014,F,1,0,0,0,0,0,0
437,34,005,5,2014,F,1,0,0,0,0,0,0
438,24,015,21,2014,F,1,0,0,0,0,0,0
439,7,004,18,2021,M,1,0,0,0,0,0,0
440,36,025,1,2021,F,1,0,0,0,0,0,0
441,37,011,30,2018,F,1,0,0,0,0,0,0
442,37,011,29,2018,F,1,0,0,0,0,0,0
443,24,010,18,2021,F,1,0,0,0,0,0,0
444,5,004,18,2021,M,1,0,0,0,0,0,0
445,34,005,1,2021,F,1,0,0,0,0,0,0
446,34,005,1,2021,F,1,0,0,0,0,0,0
447,47,019,18,2021,F,0,0,0,1,0,0,0
448,20,003,18,2021,M,1,0,0,0,0,0,0
449,29,015,18,2021,O,1,0,0,0,0,0,0
450,22,010,18,2021,M,1,0,0,0,0,0,0
451,17,008,18,2021,F,1,0,0,0,0,0,0
452,27,011,8,2014,F,1,0,0,0,0,0,0
453,28,012,14,2021,F,1,0,0,0,0,0,0
454,37,011,14,2021,F,1,0,0,0,0,0,0
455,2,012,10,2014,M,1,0,0,0,0,0,0
456,2,012,10,2014,M,1,0,0,0,0,0,0
457,45,016,20,2014,F,0,1,0,0,0,0,0
458,10,004,2,2022,O,1,0,0,0,0,0,0
459,10,004,11,2021,O,1,0,0,0,0,0,0
460,10,004,8,2020,M,0,1,0,0,0,0,0
461,10,004,8,2020,F,1,0,0,0,0,0,0
462,22,010,1,2021,O,0,1,0,0,0,0,0
463,22,010,1,2020,F,0,1,0,0,0,0,0
464,42,018,29,2014,M,0,0,0,1,0,0,0
465,37,025,18,2021,M,0,1,0,0,0,0,0
466,16,007,18,2014,F,1,0,0,0,0,0,0
467,4,001,2,2022,M,1,0,0,0,0,0,0
468,29,025,1,2022,F,1,0,0,0,0,0,0
469,24,010,20,2014,F,1,0,0,0,0,0,0
470,7,003,18,2021,F,1,0,0,0,0,0,0
471,42,018,18,2021,M,1,0,0,0,0,0,0
472,15,008,16,2014,F,0,1,0,0,0,0,0
473,15,008,16,2014,F,0,1,0,0,0,0,0
474,20,007,18,2021,M,1,0,0,0,0,0,0
475,9,005,18,2021,M,1,0,0,0,0,0,0
476,26,025,18,2021,O,1,0,0,0,0,0,0
477,10,004,13,2014,M,1,0,0,0,0,0,0
478,10,004,13,2014,M,1,0,0,0,0,0,0
479,14,009,15,2021,F,0,1,0,0,0,0,0
480,40,020,15,2021,F,0,0,0,1,0,0,0
